url_length,domain_length,path_length,count_dots,count_hyphen,count_at,count_question,count_equal,count_digits,count_letters,count_special,has_https,has_ip,subdomain_count,keyword_count,label
30,21,1,1,1,0,0,0,2,22,6,1,0,1,0,1
43,21,14,2,1,0,0,0,2,34,7,1,0,1,0,1
46,21,17,2,1,0,0,0,2,37,7,1,0,1,0,1
20,11,1,1,0,0,0,0,0,15,5,1,0,1,0,1
24,15,1,2,0,0,0,0,0,18,6,1,0,2,0,1
71,27,36,2,4,0,0,0,12,48,11,1,0,2,0,1
37,28,1,1,2,0,0,0,0,30,7,1,0,1,0,1
41,32,1,2,2,0,0,0,0,33,8,1,0,2,0,1
25,16,1,2,1,0,0,0,1,17,7,1,0,2,0,1
64,19,17,2,0,0,1,1,14,40,10,1,0,2,1,1
35,11,1,1,0,0,1,1,0,28,7,1,0,1,1,1
35,17,10,1,1,0,0,0,2,26,7,1,0,1,0,1
30,21,1,1,1,0,0,0,2,22,6,1,0,1,0,1
43,21,14,2,1,0,0,0,2,34,7,1,0,1,0,1
46,21,17,2,1,0,0,0,2,37,7,1,0,1,0,1
39,32,0,2,2,0,0,0,0,32,7,0,0,2,0,1
41,32,1,2,2,0,0,0,0,33,8,1,0,2,0,1
42,33,1,3,0,0,0,0,0,35,7,1,0,3,0,1
26,19,0,2,0,0,0,0,5,16,5,0,0,2,0,1
35,28,0,2,0,0,0,0,6,24,5,0,0,2,0,1
30,21,1,1,1,0,0,0,2,22,6,1,0,1,0,1
43,21,14,2,1,0,0,0,2,34,7,1,0,1,0,1
46,21,17,2,1,0,0,0,2,37,7,1,0,1,0,1
39,25,6,1,0,0,0,0,4,30,5,1,0,1,0,1
39,32,0,2,0,0,0,0,10,24,5,0,0,2,0,1
311,44,67,2,8,0,1,1,40,250,21,0,0,2,0,1
30,21,1,1,1,0,0,0,2,22,6,1,0,1,0,1
43,21,14,2,1,0,0,0,2,34,7,1,0,1,0,1
73,36,30,2,4,0,0,0,8,54,11,0,0,2,0,1
46,21,17,2,1,0,0,0,2,37,7,1,0,1,0,1
30,21,1,1,1,0,0,0,2,22,6,1,0,1,0,1
43,21,14,2,1,0,0,0,2,34,7,1,0,1,0,1
46,21,17,2,1,0,0,0,2,37,7,1,0,1,0,1
43,36,0,2,1,0,0,0,7,30,6,0,0,2,0,1
47,40,0,2,0,0,0,0,10,32,5,0,0,2,0,1
36,29,0,2,0,0,0,0,8,23,5,0,0,2,0,1
54,47,0,2,1,0,0,0,17,31,6,0,0,2,0,1
32,24,1,2,0,0,0,0,10,16,6,0,0,2,0,1
38,30,1,2,0,0,0,0,16,16,6,0,0,2,0,1
34,26,1,2,0,0,0,0,12,16,6,0,0,2,0,1
36,28,1,2,0,0,0,0,14,16,6,0,0,2,0,1
29,21,1,2,0,0,0,0,8,15,6,0,0,2,0,1
35,27,1,2,0,0,0,0,13,16,6,0,0,2,0,1
33,25,1,2,0,0,0,0,11,16,6,0,0,2,0,1
30,22,1,2,0,0,0,0,8,16,6,0,0,2,0,1
36,28,1,2,0,0,0,0,14,16,6,0,0,2,0,1
40,32,1,2,0,0,0,0,18,16,6,0,0,2,0,1
86,20,58,3,1,0,0,0,25,51,10,1,0,2,0,1
20,12,0,1,1,0,0,0,0,15,5,1,0,1,0,1
